date,quarter,ticker,company_name,close,ma_25,ma_50,rsi,high_52w,low_52w,per,pbr,q_score,q1,q3,v_score,v1,v2,v3,t_score,qvt_score,timing_label,signal_text,roe,roa,equity_ratio,operating_margin,de_ratio,interest_coverage,ev_ebitda,industry,sector
2024-03-07,2024-Q1,1401.T,Mbs Inc,685.0,723.0,664.0,46.4,813.0,456.0,9.4,1.33,37.5,75.0,0.0,61.5,65.5,65.0,50.0,61.4,53.5,そこそこ押し目,押し目シグナルなし,14.66,9.11,-,18.27,-,-,10.93,Engineering & Construction,Industrials
2024-03-07,2024-Q1,1431.T,"Lib Work Co.,Ltd.",749.0,770.0,763.0,48.5,862.0,738.0,76.9,3.78,25.0,35.0,15.0,20.0,0.0,25.0,50.0,87.4,44.1,バーゲン（強い押し目）,そこそこ押し目,5.0,2.72,-,10.0,1.21,-,19.88,Real Estate - Diversified,Real Estate
2024-03-07,2024-Q1,1436.T,GreenEnergy & Company Inc.,889.0,851.0,830.0,66.3,1247.0,651.0,10.8,0.66,27.5,40.0,15.0,61.7,92.7,25.0,50.0,34.2,41.1,押し目シグナルなし〜様子見,押し目シグナルなし,8.98,3.51,-,5.98,1.42,-,21.5,Engineering & Construction,Industrials
2024-03-07,2024-Q1,1444.T,"Nissou Co.,Ltd.",2527.0,2567.0,2648.0,40.2,3000.0,2011.0,-62.8,1.7,0.0,5.0,22.0,23.7,18.2,10.0,50.0,65.0,29.6,そこそこ押し目,そこそこ押し目,-2.69,0.45,-,-2.96,0.68,-,37.87,Residential Construction,Consumer Cyclical
2024-03-07,2024-Q1,1447.T,"SAAF Holdings Co.,Ltd.",279.0,303.0,304.0,28.7,415.0,229.0,30.9,2.38,32.5,65.0,0.0,40.2,18.2,65.0,50.0,82.0,51.6,バーゲン（強い押し目）,バーゲン（強い押し目）,22.81,3.29,-,3.84,3.1,-,8.68,Information Technology Services,Technology
2024-03-07,2024-Q1,2158.T,"FRONTEO, Inc.",756.0,712.0,664.0,59.0,896.0,549.0,108.6,8.02,37.5,60.0,15.0,15.5,0.0,10.0,50.0,45.8,32.9,押し目シグナルなし〜様子見,押し目シグナルなし,14.54,3.32,-,16.5,1.04,-,95.56,Information Technology Services,Technology
2024-03-07,2024-Q1,2160.T,GNI Group Ltd.,3175.0,3117.0,2971.0,53.6,3865.0,998.0,-39.2,3.52,0.0,0.0,30.0,27.5,0.0,50.0,50.0,42.5,23.3,押し目シグナルなし〜様子見,押し目シグナルなし,-16.02,-2.83,-,-39.93,0.1,-,-71.03,Biotechnology,Healthcare
2024-03-07,2024-Q1,2164.T,"Chiikishinbunsha Co.,Ltd.",315.0,200.0,192.0,87.0,315.0,169.0,115.4,13.06,0.0,0.0,0.0,27.5,0.0,50.0,50.0,0.0,9.2,高値圏（要注意）,高値圏（要注意！）,-135.31,-9.95,-,-3.86,8.75,-,-5.54,Publishing,Communication Services
2024-03-07,2024-Q1,2173.T,Hakuten Corporation,577.0,487.0,415.0,72.9,631.0,243.0,8.1,1.81,62.5,95.0,30.0,72.0,65.5,100.0,50.0,16.9,50.5,高値圏（要注意）,高値圏（要注意！）,45.9,17.92,-,12.18,0.25,-,4.34,Advertising Agencies,Communication Services
2024-03-07,2024-Q1,2195.T,"Amita Holdings Co.,Ltd.",651.0,630.0,596.0,61.1,1145.0,467.0,36.8,3.89,38.5,55.0,22.0,36.1,9.1,65.0,50.0,57.5,44.0,そこそこ押し目,押し目シグナルなし,10.85,3.82,-,10.34,0.89,-,11.06,Waste Management,Industrials
